country,Literacy rate 2021_y,Global rank_y,continent,Superficie
India,,,asia,3287263.0
China,,,asia,9596960.0
United States,,,north-america,9369417.0
Indonesia,,,asia,1904569.0
Pakistan,,,asia,882363.0
Nigeria,,,africa,923768.0
Brazil,,,south-america,8510346.0
Bangladesh,,,asia,148460.0
Russia,99.93,3.0,europe,17098246.0
Ethiopia,,,africa,1104300.0
Mexico,,,north-america,1964375.0
Japan,,,asia,377915.0
Philippines,,,asia,300000.0
Egypt,,,africa,1001450.0
DR Congo,,,africa,2344858.0
Vietnam,,,asia,331340.0
Iran,,,asia,1648195.0
Turkey,,,asia,783562.0
Germany,,,europe,357581.0
Thailand,94.1,27.0,asia,513120.0
Tanzania,,,africa,947303.0
United Kingdom,,,europe,243610.0
France,,,europe,643801.0
South Africa,90.0,32.0,africa,1219090.0
Italy,,,europe,302068.0
Kenya,,,africa,580367.0
Myanmar,,,asia,676578.0
Colombia,,,south-america,1138910.0
South Korea,,,asia,100432.0
Uganda,,,africa,241550.0
Sudan,,,africa,1861484.0
Spain,,,europe,505370.0
Iraq,,,asia,438317.0
Algeria,,,africa,2381741.0
Argentina,,,south-america,2780400.0
Afghanistan,37.27,39.0,asia,652864.0
Poland,99.8,7.0,europe,312685.0
Canada,,,north-america,9984670.0
Morocco,,,africa,446550.0
Ukraine,100.0,1.0,europe,603550.0
Angola,,,africa,1246700.0
Saudi Arabia,,,asia,2149690.0
Uzbekistan,100.0,2.0,asia,447400.0
Yemen,,,asia,527968.0
Mozambique,,,africa,799380.0
Ghana,,,africa,238537.0
Peru,,,south-america,1285216.0
Malaysia,,,asia,329847.0
Nepal,71.15,36.0,asia,147181.0
Madagascar,,,africa,587041.0
Ivory Coast,,,africa,322462.0
Venezuela,,,south-america,912050.0
Cameroon,,,africa,475650.0
Niger,,,africa,1267000.0
Australia,,,oceania,7741220.0
North Korea,,,asia,120538.0
Syria,,,asia,185180.0
Mali,,,africa,1240192.0
Taiwan,,,asia,35980.0
Burkina Faso,,,africa,274200.0
Sri Lanka,92.43,28.0,asia,65610.0
Malawi,,,africa,118484.0
Zambia,,,africa,752612.0
Kazakhstan,,,asia,2724910.0
Chile,,,south-america,756102.0
Romania,98.9,15.0,europe,238398.0
Chad,,,africa,1284000.0
Somalia,,,africa,637657.0
Ecuador,94.48,26.0,south-america,283561.0
Guatemala,,,north-america,108889.0
Senegal,,,africa,196712.0
Netherlands,,,europe,41865.0
Cambodia,,,asia,181035.0
Zimbabwe,,,africa,390757.0
Guinea,45.33,38.0,africa,28051.0
Rwanda,75.9,35.0,africa,26338.0
Benin,,,africa,114763.0
Burundi,,,africa,27834.0
Bolivia,,,south-america,1098581.0
Tunisia,,,africa,163610.0
Haiti,,,north-america,27750.0
Belgium,,,europe,30528.0
Dominican Republic,,,north-america,48670.0
Jordan,98.42,17.0,asia,89318.0
South Sudan,,,africa,644329.0
Cuba,,,north-america,109884.0
Honduras,,,north-america,112492.0
Sweden,,,europe,447425.0
Papua New Guinea,,,oceania,462840.0
Czech Republic,,,europe,78871.0
Azerbaijan,,,asia,86600.0
Tajikistan,,,asia,144100.0
Greece,,,europe,131957.0
Portugal,96.78,23.0,europe,92225.0
Hungary,99.1,12.0,europe,93025.0
United Arab Emirates,98.13,18.0,asia,78157.0
Belarus,,,europe,207600.0
Israel,,,asia,21937.0
Togo,,,africa,56785.0
Sierra Leone,,,africa,72300.0
Austria,,,europe,83878.0
Switzerland,,,europe,41291.0
Laos,,,asia,236800.0
Hong Kong,,,asia,1114.0
Nicaragua,,,north-america,130373.0
Serbia,,,europe,88499.0
Libya,,,africa,1759540.0
Paraguay,,,south-america,406752.0
Kyrgyzstan,,,asia,199949.0
Bulgaria,98.42,16.0,europe,110879.0
Turkmenistan,,,asia,488100.0
El Salvador,,,north-america,21041.0
Republic of the Congo,80.61,34.0,africa,342000.0
Singapore,,,asia,733.0
Denmark,,,europe,42947.0
Central African Republic,,,africa,622984.0
Slovakia,,,europe,49035.0
Finland,,,europe,338145.0
Liberia,,,africa,111369.0
Norway,,,europe,386224.0
Palestine,,,asia,
New Zealand,,,oceania,268838.0
Costa Rica,98.04,19.0,north-america,51100.0
Lebanon,,,asia,10452.0
Ireland,,,europe,
Mauritania,66.96,37.0,africa,1030700.0
Oman,,,asia,309500.0
Panama,,,north-america,75320.0
Kuwait,,,asia,17818.0
Croatia,99.45,9.0,europe,56594.0
Eritrea,,,africa,117600.0
Georgia,,,asia,
Mongolia,,,asia,1564116.0
Uruguay,,,south-america,176215.0
Moldova,99.6,8.0,europe,33847.0
Puerto Rico,92.4,29.0,north-america,9104.0
Bosnia and Herzegovina,,,europe,51209.0
Gambia,,,africa,
Albania,,,europe,28748.0
Jamaica,,,north-america,10991.0
Armenia,,,asia,29743.0
Qatar,,,asia,11586.0
Botswana,,,africa,582000.0
