country,Literacy rate 2021_y,Global rank_y,continent,Superficie,nb_diplomes,nb_habitants,education_spending_2021
India,,,asia,3287263.0,,1417173173.0,4.64
China,,,asia,9596960.0,,1412175000.0,3.3
United States,,,north-america,9369417.0,2715337.0,333287557.0,
Indonesia,,,asia,1904569.0,,275501339.0,3.05
Pakistan,,,asia,882363.0,,235824862.0,1.69
Nigeria,,,africa,923768.0,,218541212.0,
Brazil,,,south-america,8510346.0,,215313498.0,
Bangladesh,,,asia,148460.0,,171186372.0,1.83
Russia,99.93,3.0,europe,17098246.0,,144236933.0,
Ethiopia,,,africa,1104300.0,,123379924.0,4.07
Mexico,,,north-america,1964375.0,498441.0,127504125.0,
Japan,,,asia,377915.0,678244.0,125124989.0,3.32
Philippines,,,asia,300000.0,,115559009.0,3.88
Egypt,,,africa,1001450.0,,110990103.0,
DR Congo,,,africa,2344858.0,,99010212.0,2.66
Vietnam,,,asia,331340.0,,98186856.0,2.95
Iran,,,asia,1648195.0,,88550570.0,
Turkey,,,asia,783562.0,374943.0,84979913.0,2.85
Germany,,,europe,357581.0,489703.0,83797985.0,4.53
Thailand,94.1,27.0,asia,513120.0,,71697030.0,2.99
Tanzania,,,africa,947303.0,,65497748.0,3.12
United Kingdom,,,europe,243610.0,652174.0,66971395.0,5.33
France,,,europe,643801.0,411482.0,67971311.0,5.25
South Africa,90.0,32.0,africa,1219090.0,,59893885.0,6.56
Italy,,,europe,302068.0,372383.0,58940425.0,4.13
Kenya,,,africa,580367.0,,54027487.0,4.59
Myanmar,,,asia,676578.0,,54179306.0,
Colombia,,,south-america,1138910.0,,51874024.0,
South Korea,,,asia,100432.0,420673.0,51628117.0,
Uganda,,,africa,241550.0,,47249585.0,2.64
Sudan,,,africa,1861484.0,,46874204.0,
Spain,,,europe,505370.0,284626.0,47778340.0,4.59
Iraq,,,asia,438317.0,,44496122.0,
Algeria,,,africa,2381741.0,,44903225.0,6.3
Argentina,,,south-america,2780400.0,,46234830.0,4.65
Afghanistan,37.27,39.0,asia,652864.0,,41128771.0,
Poland,99.8,7.0,europe,312685.0,634977.0,36821749.0,4.94
Canada,,,north-america,9984670.0,232349.0,38929902.0,4.59
Morocco,,,africa,446550.0,,37457971.0,5.6
Ukraine,100.0,1.0,europe,603550.0,,38000000.0,5.74
Angola,,,africa,1246700.0,,35588987.0,2.3
Saudi Arabia,,,asia,2149690.0,,36408820.0,
Uzbekistan,100.0,2.0,asia,447400.0,,35648100.0,5.37
Yemen,,,asia,527968.0,,33696614.0,
Mozambique,,,africa,799380.0,,32969518.0,7.03
Ghana,,,africa,238537.0,,33475870.0,3.42
Peru,,,south-america,1285216.0,,34049588.0,3.97
Malaysia,,,asia,329847.0,,33938221.0,4.27
Nepal,71.15,36.0,asia,147181.0,,30547580.0,3.96
Madagascar,,,africa,587041.0,,29611714.0,3.2
Ivory Coast,,,africa,322462.0,,28160542.0,3.37
Venezuela,,,south-america,912050.0,,28301696.0,
Cameroon,,,africa,475650.0,,27914536.0,2.83
Niger,,,africa,1267000.0,,26207977.0,3.82
Australia,,,oceania,7741220.0,271050.0,26005540.0,5.56
North Korea,,,asia,120538.0,,,
Syria,,,asia,185180.0,,22125249.0,
Mali,,,africa,1240192.0,,22593590.0,4.36
Taiwan,,,asia,35980.0,,,
Burkina Faso,,,africa,274200.0,,22673762.0,5.22
Sri Lanka,92.43,28.0,asia,65610.0,,22181000.0,1.51
Malawi,,,africa,118484.0,,20405317.0,
Zambia,,,africa,752612.0,,20017675.0,3.11
Kazakhstan,,,asia,2724910.0,,19621972.0,4.39
Chile,,,south-america,756102.0,,19603733.0,
Romania,98.9,15.0,europe,238398.0,,19047009.0,3.25
Chad,,,africa,1284000.0,,17723315.0,2.89
Somalia,,,africa,637657.0,,17597511.0,
Ecuador,94.48,26.0,south-america,283561.0,,18001000.0,3.69
Guatemala,,,north-america,108889.0,,17357886.0,3.11
Senegal,,,africa,196712.0,,17316449.0,5.59
Netherlands,,,europe,41865.0,150893.0,17700982.0,5.14
Cambodia,,,asia,181035.0,,16767842.0,1.67
Zimbabwe,,,africa,390757.0,,16320537.0,
Guinea,45.33,38.0,africa,28051.0,,13859341.0,2.04
Rwanda,75.9,35.0,africa,26338.0,,13776698.0,5.59
