Pays,CategoriePrixNobel
Argentina,Physiology or Medicine
Argentina,Peace
Argentina,Chemistry
Argentina,Physiology or Medicine
Argentina,Peace
Armenia,Physiology or Medicine
Australia,Physics
Australia,Physiology or Medicine
Australia,Physiology or Medicine
Australia,Physiology or Medicine
Australia,Physiology or Medicine
Australia,Physiology or Medicine
Australia,Chemistry
Australia,Literature
Australia,Physics
Australia,Physiology or Medicine
Australia,Physiology or Medicine
Australia,Physiology or Medicine
Australia,Physics
Australia,Physics
Austria,Physics
Austria,Literature
Austria,Chemistry
Austria,Literature
Austria,Physiology or Medicine
Austria,Chemistry
Austria,Economics
Austria,Physiology or Medicine
Austria,Physiology or Medicine
Austria,Chemistry
Austria,Physiology or Medicine
Austria,Physiology or Medicine
Austria,Physics
Austria,Chemistry
Austria,Physiology or Medicine
Austria,Physics
Austria,Physics
Austria,Physiology or Medicine
Austria,Physiology or Medicine
Austria,Chemistry
Austria,Peace
Austria,Peace
Austria,Chemistry
Austria,Literature
Bangladesh,Peace
Belarus,Peace
Belarus,Literature
Belarus,Physics
Belgium,Physics
Belgium,Chemistry
Belgium,Physiology or Medicine
Belgium,Physiology or Medicine
Belgium,Peace
Belgium,Physiology or Medicine
Belgium,Physiology or Medicine
Belgium,Peace
Belgium,Literature
Belgium,Peace
Belgium,Peace
Bosnia and Herzegovina,Chemistry
Bosnia and Herzegovina,Literature
Brazil,Physiology or Medicine
Bulgaria,Literature
Canada,Economics
Canada,Physics
Canada,Physics
Canada,Physics
Canada,Literature
Canada,Physiology or Medicine
Canada,Physics
Canada,Physiology or Medicine
Canada,Economics
Canada,Economics
Canada,Economics
Canada,Peace
Canada,Physics
Canada,Chemistry
Canada,Chemistry
Canada,Physics
Canada,Chemistry
Canada,Chemistry
Canada,Chemistry
Canada,Physiology or Medicine
Canada,Literature
Canada,Chemistry
Canada,Physiology or Medicine
Canada,Peace
Canada,Chemistry
Canada,Physiology or Medicine
Canada,Physiology or Medicine
Chile,Literature
Chile,Literature
China (People's Republic of China),Physiology or Medicine
China (People's Republic of China),Literature
China (People's Republic of China),Peace
China (People's Republic of China),Physics
China (People's Republic of China),Literature
China (People's Republic of China),Physics
China (People's Republic of China),Physics
China (People's Republic of China),Physics
Colombia,Peace
Colombia,Literature
"Congo, Democratic Republic",Peace
Costa Rica,Peace
Croatia,Chemistry
Cyprus,Economics
Czech Republic,Physics
Czech Republic,Literature
Czech Republic,Chemistry
Czech Republic,Physiology or Medicine
Czech Republic,Physiology or Medicine
Czech Republic,Peace
Denmark,Chemistry
Denmark,Chemistry
Denmark,Physiology or Medicine
Denmark,Physics
Denmark,Physics
Denmark,Literature
Denmark,Physiology or Medicine
Denmark,Physiology or Medicine
Denmark,Physics
Denmark,Physiology or Medicine
Denmark,Literature
Denmark,Literature
Denmark,Peace
Denmark,Physiology or Medicine
East Timor,Peace
East Timor,Peace
Egypt,Peace
Egypt,Chemistry
Egypt,Literature
Egypt,Peace
Ethiopia,Peace
Faroe Islands,Physiology or Medicine
Finland,Economics
Finland,Peace
Finland,Physiology or Medicine
Finland,Chemistry
Finland,Literature
France,Chemistry
France,Physics
France,Physics
France,Literature
France,Physics
France,Chemistry
France,Economics
France,Physics
France,Chemistry
France,Economics
France,Literature
France,Physics
France,Physiology or Medicine
France,Literature
France,Physiology or Medicine
France,Physiology or Medicine
France,Physics
France,Chemistry
France,Literature
France,Peace
France,Physics
France,Physics
France,Physics
France,Economics
France,Chemistry
France,Literature
France,Economics
France,Physiology or Medicine
France,Physiology or Medicine
France,Peace
France,Physics
France,Chemistry
France,Peace
France,Physics
France,Physiology or Medicine
France,Physiology or Medicine
France,Physiology or Medicine
France,Literature
France,Literature
France,Literature
France,Physiology or Medicine
France,Literature
France,Peace
France,Peace
France,Literature
France,Literature
France,Chemistry
France,Chemistry
France,Literature
France,Physics
France,Physiology or Medicine
France,Literature
France,Peace
France,Peace
France,Physics
France,Literature
France,Peace
France,Literature
France,Chemistry
France,Physiology or Medicine
France,Physiology or Medicine
France,Chemistry
France,Chemistry
France,Chemistry
France,Peace
France,Physics
France,Physiology or Medicine
France,Peace
France,Chemistry
France,Literature
France,Physics
France,Physics
France,Physics
France,Peace
