Pays,Nb_prixNobel
United States,411
United Kingdom,137
Germany,115
France,75
Sweden,34
Russia,30
Japan,29
Canada,27
Switzerland,25
Austria,25
Netherlands,22
Italy,21
Poland,18
Hungary,15
Australia,14
Denmark,14
Norway,14
Israel,13
India,10
Belgium,11
Republic of Ireland,11
South Africa,11
China,8
Spain,8
Czech Republic,6
Argentina,5
Finland,5
Egypt,4
Pakistan,2
Romania,4
Ukraine,4
Taiwan,1
Belarus,3
Croatia,3
Lithuania,3
Mexico,3
New Zealand,3
Bosnia and Herzegovina,2
Chile,2
Colombia,2
East Timor,2
Greece,2
Guatemala,2
Liberia,2
Luxembourg,2
Portugal,2
Saint Lucia,2
Tunisia,2
Turkey,2
Iran,2
Bangladesh,1
Bulgaria,1
Algeria,2
Costa Rica,1
Cyprus,1
Democratic Republic of the Congo,1
Ethiopia,1
Faroe Islands,1
Ghana,1
Hong Kong,1
Iceland,1
Iraq,1
Kenya,1
Latvia,1
Lebanon,1
North Macedonia,1
Morocco,1
Myanmar,1
Nigeria,1
State of Palestine,1
Peru,1
Philippines,1
Slovenia,1
South Korea,1
Tanzania,1
Tibet,1
Trinidad and Tobago,1
Venezuela,1
Vietnam,1
Yemen,1
Socialist Federal Republic of Yugoslavia,3
