"COUNTRY","Country","DLVLEDUC","Level of education","DDESTPRG","Programme destination","DDURPRG","Programme duration","DPROGTYP","Programme orientation","DSTDYTYP","Field of education","DSEX","Gender","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1998","1998",149768,,
"AUS","Australia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1999","1999",155783,,
"AUS","Australia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2000","2000",148502,,
"AUS","Australia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2001","2001",165536,,
"AUS","Australia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2002","2002",178041,,
"AUS","Australia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2003","2003",192088,,
"AUS","Australia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2004","2004",206140,,
"AUS","Australia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2005","2005",228169,,
"AUS","Australia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2006","2006",228396,,
"AUS","Australia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2007","2007",233995,,
"AUS","Australia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2008","2008",236627,,
"AUS","Australia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2010","2010",258161,,
"AUS","Australia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2011","2011",271050,,
"AUT","Austria","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1998","1998",16225,,
"AUT","Austria","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1999","1999",16068,,
"AUT","Austria","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2000","2000",17050,,
"AUT","Austria","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2001","2001",18625,,
"AUT","Austria","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2002","2002",18956,,
"AUT","Austria","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2003","2003",20441,,
"AUT","Austria","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2004","2004",22967,,
"AUT","Austria","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2005","2005",24770,,
"AUT","Austria","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2006","2006",26789,,
"AUT","Austria","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2007","2007",28181,,
"AUT","Austria","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2008","2008",34917,,
"AUT","Austria","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2010","2010",44070,,
"AUT","Austria","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2011","2011",48894,,
"AUT","Austria","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2012","2012",53945,,
"BEL","Belgium","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2000","2000",32074,,
"BEL","Belgium","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2001","2001",34023,,
"BEL","Belgium","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2002","2002",35636,,
"BEL","Belgium","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2003","2003",37040,,
"BEL","Belgium","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2004","2004",38304,,
"BEL","Belgium","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2005","2005",39683,,
"BEL","Belgium","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2006","2006",40422,,
"BEL","Belgium","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2007","2007",62224,,
"BEL","Belgium","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2008","2008",56941,,
"BEL","Belgium","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2010","2010",60481,,
"BEL","Belgium","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2011","2011",61678,,
"BEL","Belgium","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2012","2012",63414,,
"CAN","Canada","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1998","1998",148879,,
"CAN","Canada","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1999","1999",150866,,
"CAN","Canada","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2000","2000",154317,,
"CAN","Canada","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2004","2004",177433,,
"CAN","Canada","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2005","2005",201069,,
"CAN","Canada","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2006","2006",214101,,
"CAN","Canada","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2007","2007",203741,,
"CAN","Canada","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2008","2008",227368.47,,
"CAN","Canada","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2009","2009",225486,,
"CAN","Canada","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2010","2010",225614,,
"CAN","Canada","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2011","2011",227133,,
"CAN","Canada","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2012","2012",232349,,
"CZE","Czechia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1998","1998",22228,,
"CZE","Czechia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1999","1999",24173,,
"CZE","Czechia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2000","2000",29877,,
