"Figure D1.1. Compulsory instruction time in general education (2023)"
"In hours, in primary and lower secondary education, in public institutions"
"Category";"Primary (year 1)";"Primary (year 2)";"Primary (year 3)";"Primary (year 4)";"Primary (year 5)";"Primary (year 6)";"Primary (year 7)";"Lower secondary (year 1)";"Lower secondary (year 2)";"Lower secondary (year 3)";"Lower secondary (year 4)";"Lower secondary (year 5)";"Lower secondary (year 6)";"Primary";"Lower secondary"
"Bulgaria [7]";507;507;507;507;;;;736;736;736;;;;2028;2207
"Croatia [8]";473;473;473;473;;;;663;663;663;663;;;1890;2651
"Poland [8]";558;558;558;558;;;;754;754;754;754;;;2230;3015
"Latvia [9]";584;584;584;584;584;584;;778;778;778;;;;3506;2334
"Hungary [8]";679;679;679;679;;;;803;803;803;803;;;2718;3212
"Türkiye [8]";720;720;720;720;;;;843;843;843;843;;;2880;3371
"Finland¹ [9]";660;660;660;660;660;660;;808;808;808;;;;3962;2423
"Slovenia [9]";682;682;682;682;682;682;;766;766;766;;;;4091;2298
"Estonia [9]";661;661;661;661;661;661;;823;823;823;;;;3964;2468
"Korea [9]";655;655;655;655;655;655;;842;842;842;;;;3928;2525
"Austria [8]";705;705;705;705;;;;930;930;930;930;;;2820;3720
"Slovak Republic [9]";677;677;677;677;;;;823;823;823;823;823;;2707;4117
"Sweden¹ [9]";714;714;714;714;714;714;;869;869;869;;;;4283;2607
"Greece [9]";747;747;747;747;747;747;;811;811;811;;;;4483;2433
"Czech Republic [9]";687;687;687;687;687;;;888;888;888;888;;;3434;3550
"EU25 average [9]";738;738;738;738;738;;;876;876;876;876;;;3943;3070
"Brazil [9]";800;800;800;800;800;;;800;800;800;800;;;4000;3200
"Japan [9]";778;778;778;778;778;778;;890;890;890;;;;4669;2669
"Germany² [9]";724;724;724;724;;;;896;896;896;896;896;;2896;4480
"Italy [8]";904;904;904;904;904;;;990;990;990;;;;4521;2970
"Romania [9]";720;720;720;720;720;;;1001;1001;1001;1001;;;3600;4002
"Iceland [10]";729;729;729;729;729;729;729;839;839;839;;;;5100;2516
"Lithuania [10]";644;644;644;644;;;;842;842;842;842;842;842;2576;5053
"OECD average [9]";805;805;805;805;805;805;;916;916;916;;;;4561;3073
"Switzerland [9]";799;799;799;799;799;799;;963;963;963;;;;4792;2889
"Portugal [9]";874;874;874;874;874;874;;818;818;818;;;;5245;2455
"Norway [10]";753;753;753;753;753;753;753;874;874;874;;;;5272;2622
"Spain [9]";792;792;792;792;792;792;;1057;1057;1057;;;;4754;3171
"Luxembourg [9]";924;924;924;924;924;924;;845;845;845;;;;5544;2535
"Ireland [9]";903;903;903;903;903;903;;918;918;918;;;;5415;2755
"France [9]";864;864;864;864;864;;;968;968;968;968;;;4320;3872
"Chile [8]";1028;1028;1028;1028;1028;1028;;1066;1066;;;;;6165;2132
"Canada [9]";922;922;922;922;922;922;;925;925;925;;;;5531;2774
"Israel [9]";918;918;918;918;918;918;;976;976;976;;;;5511;2929
"Netherlands³ [9]";940;940;940;940;940;940;;1000;1000;1000;;;;5640;3000
"United States [9]";974;974;974;974;974;974;;1023;1023;1023;;;;5841;3068
"Colombia [9]";1000;1000;1000;1000;1000;;;1200;1200;1200;1200;;;5000;4800
"Costa Rica [9]";1147;1147;1147;1147;1147;1147;;1120;1120;1120;;;;6880;3360
"Denmark [10]";1000;1000;1000;1000;1000;1000;1000;1200;1200;1200;;;;7000;3600
"Australia [11]";1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;;;7000;4000
".";;;;;;;;;;;;;;;
"French Comm. (Belgium) [8]";826;826;826;826;826;826;;885;885;;;;;4956;1770
"Flemish Comm. (Belgium) [8]";821;821;821;821;821;821;;949;949;;;;;4928;1899
