Country,Notes_Musees,Nbvotes_Musees_Clean,Nb_Prixnobel,Annee_Souverainete,Nb_Univtop500,Mean_Rank_Univ,Political_Regime,Immigrationbycountry_Immigrants,Immigrationbycountry_Emigrants,Primary,Lower_Secondary,Break_1,Break_2,Break_3,Break_4,Break_5,End_Of_The_School_Year_Break,Literacy_Rate_2021,Global_rank_Literacy_rate,Continent,Area,Nb_graduates,Population,Education_Spending_2021,Gdp,Averageiqbycountry_Iqlynnbecker2019,Averageiqbycountry_Sourcelynnbecker2019,Averageiq_Ici2017Grade,Averageiq_Ici2017Score,Averageiqpisa2022Meanscoremathematics,Averageiqpisa2022Meanscorereading,Averageiqpisa2022Meanscorescience,Gdp_Percapita,Indice_Evolution,Nb_Foreign_Students
Afghanistan,4.5,574.0,0.0,1919.0,0.0,,1.0,144098.0,5853838.0,,,,,,,,,37.27,39.0,asia,652864.0,,41128771.0,,14266499429.8746,82.12,E,,,368.0,358.0,376.0,346.8739542417788,3.303561468969322,
Albania,4.5307692307692315,659.5,0.0,1912.0,0.0,,1.0,48810.0,1250451.0,,,,,,,,,,,europe,28748.0,,2777689.0,3.09,17930565118.8176,81.75,E,D+,23.4,,,,6455.209751277987,57.63580135069632,
Algeria,4.3500000000000005,184.0,2.0,1962.0,0.0,,1.0,250378.0,2022337.0,,,,,,,,,,,africa,2381741.0,,44903225.0,6.3,163472387986.768,76.0,E,D,19.1,378.0,401.0,406.0,3640.548935778399,58.71853122223224,
Andorra,4.504761904761905,201.47619047619048,0.0,,0.0,,,45574.0,11132.0,,,,,,,,,,,europe,468.0,,79824.0,2.58,3325143693.28714,95.2,E,,,,,,41655.93923240053,,
Angola,4.205263157894737,98.94736842105263,0.0,1975.0,0.0,,1.0,656434.0,668066.0,,,,,,,,,,,africa,1246700.0,,35588987.0,2.3,66505129989.243,75.1,T,,,487.0,498.0,507.0,1868.6997185180628,38.13672894934822,
Antigua and Barbuda,4.2,388.0,0.0,,0.0,,,,,,,,,,,,,,,north-america,442.0,,93763.0,3.88,1601366666.66667,70.48,E,,,487.0,480.0,491.0,17078.876173615074,,
Argentina,4.5851851851851855,12605.0,5.0,1810.0,1.0,95.0,2.0,2281728.0,1076148.0,,,,,,,,,,,south-america,2780400.0,,46234830.0,4.65,487902572164.348,86.63,T,B-,40.5,397.0,365.0,380.0,10552.706091151367,49.311710706314805,
Armenia,4.703703703703704,223.59259259259258,1.0,1990.0,0.0,,2.0,190349.0,958190.0,,,,,,,,,,,asia,29743.0,,2780469.0,2.77,13878908628.9378,88.82,E,C-,29.6,,,,4991.571072699534,146.81091390292747,
Australia,4.588461538461538,4691.615384615385,14.0,1901.0,27.0,202.0,3.0,7685860.0,598765.0,7000.0,4000.0,2.2,2.0,2.0,,,6.2,,,oceania,7741220.0,271050.0,26005540.0,5.56,1559033756285.13,99.24,T,A,64.0,,,,59950.06280527649,487.3988845957438,28.375
Austria,4.566666666666666,15031.333333333334,25.0,1955.0,5.0,309.0,3.0,1738183.0,600740.0,2820.0,3720.0,1.2,2.0,1.0,1.2,,9.0,,,europe,83878.0,53945.0,9041851.0,4.99,479295362747.047,98.38,T,A-,58.7,489.0,479.0,491.0,53008.544682614986,768.2397780089128,17.641
Azerbaijan,4.480769230769232,633.2692307692307,0.0,1991.0,0.0,,1.0,252228.0,1163922.0,,,,,,,,,,,asia,86600.0,,10141756.0,3.7,54825411764.7059,84.81,E,C-,28.6,,,,5405.909170434184,163.81542940709647,
Bahamas,4.5736842105263165,126.89473684210526,0.0,1964.0,0.0,,,63583.0,53793.0,,,,,,,,,,,north-america,,,409984.0,3.57,11527600000.0,86.99,T,,,,,,28117.19481735873,468.6199136226454,
