Pays,Notes_musees,NbVotes_musees_clean,Nb_prixNobel,Annee_souverainete,Nb_univTop500,Rang,Political regime,immigrationByCountry_immigrants,immigrationByCountry_emigrants,Primary,Lower secondary,Break 1,Break 2,Break 3,Break 4,Break 5,End of the school year break
Afghanistan,[4.5],[574.0],0.0,1919.0,0.0,,1.0,144098.0,5853838.0,,,,,,,,
Albania,"['4,1', '4,4', '4,6', '4,6', '4,4', '4,7', '4,7', '4,5', '4,1', '4,6', '4,4', '4,8', '4,3', '4,6', '4,9', '4,1', '4,7', '4,6', '4,6', '3,8', '5,0', '4,8', '4,5', '4,6', '4,4', '5,0']","[1000.0, 1000.0, 471.0, 1000.0, 3000.0, 259.0, 1000.0, 430.0, 58.0, 102.0, 148.0, 13.0, 183.0, 7000.0, 16.0, 208.0, 67.0, 31.0, 11.0, 15.0, 2.0, 40.0, 217.0, 348.0, 525.0, 3.0]",0.0,1912.0,0.0,,1.0,48810.0,1250451.0,,,,,,,,
Algeria,"['4,4', '4,6', '4,4', '4,3', '4,7', '4,6', '4,3', '4,4', '4,6', '4,3', '3,4', '4,5', '4,5', '4,4', '4,2', '4,2', '4,6', '4,0', '4,6', '4,5', '4,4', '4,5', '4,1', '4,1', '4,2', '4,3']","[250.0, 545.0, 790.0, 199.0, 170.0, 348.0, 240.0, 162.0, 131.0, 366.0, 22.0, 306.0, 85.0, 155.0, 42.0, 9.0, 136.0, 5.0, 41.0, 118.0, 97.0, 95.0, 10.0, 205.0, 188.0, 69.0]",2.0,1962.0,0.0,,1.0,250378.0,2022337.0,,,,,,,,
Andorra,"['4,5', '4,5', '4,6', '4,4', '4,5', '4,7', '4,8', '4,4', '4,7', '4,6', '4,6', '4,2', '4,9', '4,5', '4,6', '4,6', '4,4', '4,5', '3,9', '4,5', '4,2']","[383.0, 563.0, 153.0, 421.0, 193.0, 56.0, 128.0, 211.0, 82.0, 11.0, 56.0, 14.0, 43.0, 689.0, 80.0, 150.0, 9.0, 237.0, 478.0, 19.0, 255.0]",0.0,,0.0,,,45574.0,11132.0,,,,,,,,
Angola,"['4,8', '4,2', '4,1', '3,9', '4,3', '4,5', '4,0', '3,8', '4,0', '5,0', '5,0', '5,0', '3,5', '3,5', '4,0', '3,3', '3,8', '5,0', '4,2']","[4.0, 421.0, 191.0, 116.0, 423.0, 11.0, 261.0, 228.0, 55.0, 1.0, 1.0, 9.0, 13.0, 2.0, 1.0, 10.0, 5.0, 2.0, 126.0]",0.0,1975.0,0.0,,1.0,656434.0,668066.0,,,,,,,,
Antigua and Barbuda,['4.2'],[388.0],0.0,,0.0,,,,,,,,,,,,
Argentina,"['4,7', '4,7', '4,6', '4,7', '4,6', '4,6', '4,5', '4,7', '4,6', '4,5', '4,6', '4,5', '4,6', '4,6', '4,6', '4,6', '4,4', '4,7', '4,6', '4,3', '4,5', '4,6', '4,6', '4,5', '4,6', '4,7', '4,6']","[8000.0, 31000.0, 26000.0, 14000.0, 5000.0, 33000.0, 8000.0, 13000.0, 12000.0, 8000.0, 17000.0, 21000.0, 3000.0, 633.0, 11000.0, 33000.0, 20000.0, 12000.0, 14000.0, 4000.0, 10000.0, 14000.0, 926.0, 12000.0, 6000.0, 3000.0, 776.0]",5.0,1810.0,1.0,95.0,2.0,2281728.0,1076148.0,,,,,,,,
Armenia,"['4,4', '4,3', '4,5', '4,7', '4,7', '4,7', '4,6', '4,7', '4,6', '4,9', '4,8', '4,8', '4,7', '4,8', '4,9', '4,6', '4,6', '4,7', '4,6', '4,8', '4,8', '5,0', '4,5', '4,8', '4,7', '4,9', '4,9']","[768.0, 166.0, 332.0, 624.0, 106.0, 391.0, 279.0, 505.0, 382.0, 129.0, 66.0, 75.0, 1000.0, 44.0, 98.0, 280.0, 52.0, 32.0, 92.0, 60.0, 64.0, 111.0, 71.0, 113.0, 42.0, 116.0, 39.0]",1.0,1990.0,0.0,,2.0,190349.0,958190.0,,,,,,,,
Australia,"['4.6', '4.1', '4.5', '4.6', '4.6', '4.6', '4.6', '4.8', '4.6', '4.6', '4.7', '4.9', '4.7', '4.6', '4.6', '4.5', '4.4', '4.8', '4.5', '4.5', '4.5', '4.7', '4.7', '4.4', '4.6', '4.6']","[8000.0, 2000.0, 6000.0, 5000.0, 15000.0, 1000.0, 6000.0, 13000.0, 4000.0, 686.0, 2000.0, 806.0, 463.0, 1000.0, 3000.0, 1000.0, 11000.0, 1000.0, 5000.0, 2000.0, 10000.0, 2000.0, 12000.0, 2000.0, 27.0, 8000.0]",14.0,1901.0,27.0,202.0,3.0,7685860.0,598765.0,7000.0,4000.0,2.2,2.0,2.0,,,6.2
Austria,"['4,8', '4,8', '4,7', '4,6', '4,2', '4,7', '4,3', '4,6', '4,7', '4,7', '4,5', '4,5', '4,6', '4,6', '4,6', '4,6', '4,5', '4,4', '4,6', '4,4', '4,7', '4,7', '4,6', '4,7', '4,6', '4,6', '4,0']","[25000.0, 32000.0, 26000.0, 8140.0, 21000.0, 12000.0, 4678.0, 10000.0, 12000.0, 46000.0, 3714.0, 9205.0, 42000.0, 6639.0, 3087.0, 712.0, 8670.0, 2135.0, 8918.0, 29000.0, 13000.0, 65000.0, 1022.0, 2146.0, 1630.0, 7582.0, 4568.0]",25.0,1955.0,5.0,309.0,3.0,1738183.0,600740.0,2820.0,3720.0,1.2,2.0,1.0,1.2,,9.0
