,Pays,Rang,Score
0, United States,1,100
1, United Kingdom,2,99.2
2, United Kingdom,3,98.9
3, United States,4,98.3
4, United States,5,98.1
5, United Kingdom,6,97.8
6, Switzerland,7,93.3
7, Singapore,8,92.7
8, United Kingdom,9,92.4
9, United States,10,90.4
10, United States,11,90.3
11, United States,12,89.4
12, United States,13,89.3
13, Australia,14,87.9
14, United States,15,87.8
15, United States,16,87.7
16, China (Mainland),=17,87
17, United States,=17,87
18, Australia,=19,86.7
19, Australia,=19,86.7
20, Canada,21,86.3
21, United Kingdom,22,86.1
22, United States,23,85.9
23, France,24,85.8
24, China (Mainland),25,84.9
25, Singapore,=26,84.5
26, Hong Kong SAR,=26,84.5
27, United States,28,84.5
28, Japan,28,84.3
29, United States,29,83.8
30, Canada,30,83.7
31, United Kingdom,32,82.2
32, United States,33,81.7
33, Australia,=34,81.5
34, Canada,=34,81.5
35, Switzerland,36,80.4
36, Germany,37,80
37, France,=38,79.5
38, United States,=38,79.5
39, United Kingdom,40,79.3
40, South Korea,41,78.5
41, Australia,42,78.2
42, Australia,43,78.1
43, China (Mainland),=44,77.8
44, United Kingdom,45,76.9
45, Japan,46,76.3
46, Netherlands,=47,76.2
47, United States,=47,76.2
48, Hong Kong SAR,=47,76.2
49, China (Mainland),50,74.4
50, China (Mainland),51,74.3
51, United States,52,73.7
52, Netherlands,53,73.4
53, Germany,54,72.5
54, United Kingdom,55,72.4
55, South Korea,56,72.2
56, United States,57,72
57, United States,58,71.8
58, France,59,71.7
59, Hong Kong SAR,60,71.1
60, Belgium,61,70.1
61, United States,62,70
62, United States,63,69.2
63, United States,64,69.1
64, Hong Kong SAR,=65,68.7
65, Malaysia,=65,68.7
66, United Kingdom,67,68.6
67, New Zealand,68,68
68, Taiwan,69,67.9
69,Hong Kong SAR,70,67.7
70, France,71,67.6
71, Australia,72,66.9
72, United States,=73,66.4
73, Sweden,=73,66.4
74, United Kingdom,75,65.5
75, United Kingdom,=76,65.2
76, South Korea,=76,65.2
77, United Kingdom,78,65.1
78, South Korea,79,64.7
79, Japan,80,63.9
80, Ireland,=81,63.5
81, United Kingdom,=81,63.5
82, United States,83,63.1
83, United Kingdom,84,63
84, Sweden,=85,62.8
85, Brazil,=85,62.8
86, Russia,=87,62.2
87, Germany,=87,62.2
88, Australia,89,62
89, Australia,90,61.8
90, Japan,=91,61.6
91, Switzerland,=91,61.6
92, United States,=93,61.4
93, Mexico,=93,61.4
94, Argentina,=95,61
95, United Kingdom,=95,61
96, United States,97,60.9
97, Germany,98,60.8
98, United States,99,60.7
99, South Korea,=100,60.4
100, United Kingdom,=100,60.4
101, United States,102,60
102, Chile,103,59.9
103, United Kingdom,104,59.7
104, Sweden,105,59.4
105, Germany,106,59.3
106, Denmark,=107,58.8
107, Netherlands,=107,58.8
108, Finland,109,58.7
109, United Kingdom,110,58.6
110, Canada,111,58.3
111, Canada,112,58.1
112, Japan,113,58
113, Canada,114,57.4
114, Finland,115,57.2
115, United States,116,57.1
116, Norway,117,56.9
