Pays,Nb_univTop500,Rang
Argentina,1,95.0
Australia,27,202.0
Austria,5,309.0
Belarus,1,387.0
Belgium,7,217.0
Brazil,4,274.0
Brunei,1,387.0
Canada,19,226.0
Chile,3,224.0
China,29,289.0
Colombia,3,257.0
Cyprus,1,368.0
Czechia,3,367.0
Denmark,5,207.0
Egypt,2,393.0
Estonia,1,358.0
Finland,7,298.0
France,16,265.0
Germany,30,278.0
Greece,2,396.0
Hong Kong,5,99.0
India,11,311.0
Indonesia,5,323.0
Iran,4,380.0
Ireland,6,282.0
Israel,4,332.0
Italy,14,317.0
Japan,15,236.0
Kazakhstan,3,355.0
Lebanon,1,226.0
Lithuania,1,473.0
Luxembourg,1,381.0
Macau,1,254.0
Malaysia,8,200.0
Mexico,2,138.0
Netherlands,13,168.0
New Zealand,8,254.0
Norway,3,230.0
Oman,1,454.0
Pakistan,2,341.0
Peru,1,336.0
Philippines,1,404.0
Poland,2,283.0
Portugal,5,323.0
Qatar,2,242.0
Russia,11,368.0
Saudi Arabia,3,175.0
Singapore,3,154.0
South Africa,5,270.0
South Korea,14,237.0
Spain,14,327.0
Sweden,8,179.0
Switzerland,9,166.0
Taiwan,7,285.0
Thailand,2,296.0
Turkey,3,390.0
United Arab Emirates,4,337.0
United Kingdom,49,199.0
United States,82,214.0
ong Kong SAR,1,70.0
